neighborhood,year,month,incident_type,response_min
Lincoln Square,2019,8,Medical,10.02
Near North Side,2021,10,Police,5.4
Douglas,2023,9,Fire,10.23
Riverdale,2024,1,Fire,10.74
West Garfield Park,2023,9,Medical,14.61
Kenwood,2020,5,Police,12.0
Englewood,2020,4,Medical,5.83
South Shore,2023,10,Police,9.18
Morgan Park,2020,5,Fire,11.08
Washington Heights,2020,9,Medical,4.34
Douglas,2022,8,Medical,9.12
West Garfield Park,2024,10,Police,10.2
Englewood,2024,12,Medical,7.5
Lincoln Park,2023,5,Medical,3.01
Lincoln Park,2023,11,Police,2.07
Englewood,2020,10,Medical,10.23
Rogers Park,2019,5,Police,9.55
Albany Park,2022,1,Fire,9.8
Near South Side,2019,9,Police,8.23
Lake View,2020,3,Medical,8.4
West Ridge,2023,1,Medical,5.51
Douglas,2019,5,Fire,8.46
West Ridge,2024,10,Medical,11.4
Albany Park,2021,3,Police,5.64
Englewood,2019,6,Police,10.04
Austin,2023,7,Medical,12.62
Washington Heights,2024,11,Police,10.73
Douglas,2020,4,Police,7.43
Irving Park,2019,4,Medical,5.41
Kenwood,2020,2,Medical,7.38
Mount Greenwood,2022,2,Police,7.45
Beverly,2021,7,Police,7.4
Albany Park,2023,11,Police,6.4
West Englewood,2023,5,Police,10.37
West Pullman,2020,5,Police,7.42
Near North Side,2021,12,Fire,5.35
Near South Side,2024,2,Police,6.54
Loop,2023,7,Medical,6.6
Hyde Park,2019,2,Police,12.79
Lincoln Square,2023,12,Police,7.39
Douglas,2019,5,Fire,7.74
West Town,2023,5,Police,8.17
Mount Greenwood,2019,3,Police,4.38
Near South Side,2022,2,Medical,5.09
West Town,2020,3,Medical,8.61
Douglas,2024,11,Police,8.52
South Shore,2024,5,Medical,12.12
Humboldt Park,2022,12,Fire,8.74
Woodlawn,2024,6,Medical,12.77
Morgan Park,2019,4,Fire,6.93
Mount Greenwood,2024,7,Police,7.63
South Shore,2020,2,Medical,7.58
Hyde Park,2021,6,Medical,7.39
West Ridge,2019,9,Medical,6.56
Washington Park,2024,10,Police,6.55
Uptown,2023,5,Medical,6.22
Edison Park,2023,4,Medical,6.9
Riverdale,2021,9,Medical,9.45
West Englewood,2022,6,Fire,10.41
Lincoln Park,2019,12,Fire,3.23
Washington Heights,2023,4,Police,9.21
Grand Boulevard,2020,1,Medical,10.96
Washington Park,2021,9,Police,11.62
Near West Side,2022,10,Police,8.05
Lake View,2022,3,Medical,2.58
Portage Park,2020,6,Medical,11.22
Irving Park,2024,1,Medical,10.73
Albany Park,2020,6,Medical,9.38
Edison Park,2024,3,Police,5.36
Kenwood,2021,3,Medical,7.89
South Shore,2020,11,Police,11.89
Morgan Park,2023,7,Medical,8.13
Greater Grand Crossing,2022,11,Police,10.26
Auburn Gresham,2024,9,Medical,7.28
Near South Side,2020,6,Police,9.08
Edison Park,2019,12,Fire,6.43
Jefferson Park,2020,1,Fire,5.46
West Town,2024,9,Fire,14.36
Mount Greenwood,2022,5,Police,7.35
North Lawndale,2023,2,Fire,12.6
Loop,2020,3,Medical,2.44
Lincoln Park,2023,11,Police,2.44
Irving Park,2019,5,Fire,8.99
West Ridge,2024,12,Medical,7.11
Near North Side,2022,2,Fire,4.4
Austin,2021,12,Medical,15.13
Uptown,2022,12,Police,8.12
Uptown,2024,3,Police,13.13
Woodlawn,2021,8,Fire,9.1
Mount Greenwood,2021,6,Police,4.41
Beverly,2022,12,Medical,5.57
Riverdale,2024,2,Medical,14.0
South Shore,2021,2,Medical,10.29
Rogers Park,2024,1,Police,12.01
Edison Park,2023,7,Medical,8.88
Auburn Gresham,2019,6,Medical,8.46
West Pullman,2020,6,Fire,9.69
Auburn Gresham,2024,5,Medical,9.01
Lincoln Square,2024,3,Fire,8.37
Roseland,2021,8,Police,12.95
Lincoln Park,2024,3,Medical,1.95
Near West Side,2024,5,Police,9.75
West Pullman,2021,8,Medical,7.65
Jefferson Park,2022,12,Police,4.9
Irving Park,2024,3,Police,6.74
Portage Park,2023,5,Medical,6.32
Austin,2020,11,Medical,12.01
Rogers Park,2024,6,Police,14.98
Near South Side,2021,1,Police,12.73
Roseland,2023,2,Medical,9.18
Logan Square,2020,7,Fire,9.61
Englewood,2022,9,Police,11.97
Lincoln Square,2024,10,Police,15.31
South Shore,2021,4,Police,17.66
Beverly,2022,5,Medical,11.3
Pullman,2024,12,Medical,4.26
Woodlawn,2022,4,Medical,8.52
Lake View,2021,11,Medical,4.73
Washington Park,2023,3,Police,7.42
Uptown,2023,10,Medical,9.13
Riverdale,2022,2,Medical,11.24
Lincoln Square,2022,3,Police,5.96
Washington Park,2024,2,Police,12.15
Loop,2019,8,Police,5.62
Englewood,2020,1,Medical,12.14
Hyde Park,2024,5,Medical,4.78
Lake View,2022,1,Fire,4.07
West Englewood,2022,5,Fire,9.66
South Shore,2020,3,Medical,7.69
Chatham,2021,9,Medical,6.6
Jefferson Park,2023,12,Medical,9.28
Beverly,2021,1,Medical,8.56
Lincoln Park,2020,10,Medical,4.06
Near West Side,2020,1,Fire,7.39
Portage Park,2019,8,Medical,8.11
West Ridge,2024,3,Medical,7.43
Jefferson Park,2024,11,Medical,7.12
Near South Side,2024,7,Police,11.48
Kenwood,2024,10,Fire,9.32
Englewood,2019,5,Police,7.23
Douglas,2023,2,Medical,4.19
Uptown,2024,11,Medical,9.8
Irving Park,2022,7,Police,9.01
South Shore,2020,7,Medical,11.88
Roseland,2019,3,Medical,9.32
Hyde Park,2021,6,Medical,8.68
Near South Side,2024,5,Medical,7.32
South Shore,2019,1,Fire,10.66
Hyde Park,2021,1,Medical,5.45
Riverdale,2019,2,Medical,7.8
Near South Side,2021,7,Fire,5.08
West Englewood,2019,3,Fire,10.9
Englewood,2019,9,Medical,9.7
Morgan Park,2024,3,Medical,7.72
North Lawndale,2023,10,Police,8.31
Portage Park,2022,4,Police,11.23
Grand Boulevard,2020,11,Medical,8.51
Douglas,2022,8,Police,10.22
West Garfield Park,2023,4,Medical,8.95
Lake View,2024,7,Fire,4.78
Portage Park,2021,11,Fire,9.22
Roseland,2022,5,Medical,9.71
West Town,2020,6,Fire,7.95
Woodlawn,2024,8,Fire,11.29
West Englewood,2020,4,Police,12.5
Riverdale,2021,6,Police,13.12
Loop,2020,10,Medical,5.29
Austin,2023,2,Medical,5.97
Englewood,2022,9,Medical,10.21
West Ridge,2020,12,Police,8.92
West Englewood,2022,9,Fire,9.26
Mount Greenwood,2019,12,Police,10.98
South Shore,2022,10,Medical,12.39
Washington Heights,2021,10,Medical,6.93
Lincoln Park,2023,6,Medical,5.22
Jefferson Park,2024,6,Medical,7.96
Loop,2020,10,Medical,5.16
Rogers Park,2024,7,Fire,5.84
Edison Park,2023,4,Medical,3.69
Grand Boulevard,2022,7,Police,9.72
Uptown,2020,10,Police,7.48
Lincoln Square,2023,1,Medical,13.16
Washington Park,2021,7,Police,11.62
Beverly,2019,12,Medical,8.66
West Town,2019,1,Medical,9.29
Near South Side,2021,11,Medical,7.75
West Englewood,2024,8,Medical,11.43
Humboldt Park,2019,10,Police,9.64
Greater Grand Crossing,2021,6,Medical,7.92
Irving Park,2022,1,Police,10.39
West Garfield Park,2024,11,Police,10.86
Washington Heights,2024,12,Medical,7.72
Jefferson Park,2021,1,Medical,7.19
West Englewood,2019,12,Medical,12.47
Logan Square,2022,4,Fire,9.31
West Town,2024,7,Medical,10.77
North Lawndale,2021,5,Medical,7.21
Riverdale,2021,5,Police,14.19
Lincoln Park,2024,8,Police,5.87
Woodlawn,2024,2,Medical,9.85
Grand Boulevard,2022,4,Fire,9.1
Woodlawn,2024,4,Medical,5.88
Englewood,2020,11,Police,12.07
Beverly,2019,8,Medical,3.86
Humboldt Park,2024,6,Police,8.34
Greater Grand Crossing,2020,10,Police,10.53
Edison Park,2022,9,Fire,5.35
West Englewood,2022,10,Police,7.41
Near West Side,2023,9,Medical,10.72
Roseland,2023,4,Fire,8.18
Humboldt Park,2022,10,Fire,6.69
Loop,2023,7,Medical,3.82
Washington Park,2021,3,Medical,8.68
Mount Greenwood,2020,6,Police,6.06
Kenwood,2022,1,Fire,6.66
Humboldt Park,2021,5,Medical,7.36
Hyde Park,2019,6,Police,12.35
Beverly,2019,12,Police,4.29
Grand Boulevard,2023,12,Medical,5.29
Douglas,2023,12,Medical,7.28
Near West Side,2021,5,Police,8.04
Uptown,2019,7,Medical,7.21
Near West Side,2024,12,Fire,6.71
Jefferson Park,2022,4,Police,7.11
South Shore,2024,5,Medical,14.93
Loop,2020,4,Police,7.57
Near North Side,2023,9,Police,4.62
Humboldt Park,2021,2,Police,9.69
Jefferson Park,2024,1,Police,9.06
Near West Side,2023,4,Medical,9.06
Humboldt Park,2021,12,Police,7.41
Beverly,2019,12,Fire,7.14
Greater Grand Crossing,2023,12,Medical,10.04
Mount Greenwood,2024,6,Medical,9.91
West Garfield Park,2021,10,Fire,6.88
Roseland,2021,8,Fire,15.2
Jefferson Park,2024,4,Police,10.15
Riverdale,2023,1,Fire,15.65
Washington Park,2020,9,Fire,9.18
Humboldt Park,2022,3,Police,9.17
Portage Park,2019,6,Fire,9.33
West Englewood,2024,10,Police,8.88
Morgan Park,2024,8,Police,10.31
Humboldt Park,2023,11,Police,8.59
Roseland,2023,5,Fire,9.17
Morgan Park,2020,11,Police,10.76
Lincoln Square,2019,7,Police,12.07
Lincoln Square,2023,11,Police,10.43
South Shore,2020,11,Police,7.13
Edison Park,2024,10,Police,4.56
West Ridge,2022,9,Medical,13.53
Morgan Park,2021,1,Police,13.12
Douglas,2022,11,Medical,7.77
Morgan Park,2022,8,Police,9.73
Austin,2022,2,Medical,11.87
Chatham,2022,1,Medical,12.34
Roseland,2021,4,Medical,9.46
Irving Park,2024,6,Medical,9.13
West Englewood,2019,8,Medical,8.48
Portage Park,2019,1,Fire,7.86
Near South Side,2024,1,Medical,7.8
Near South Side,2020,10,Police,12.91
Lake View,2020,2,Medical,4.66
Loop,2023,9,Police,5.1
Auburn Gresham,2022,12,Police,9.9
Uptown,2022,4,Medical,9.64
Riverdale,2021,7,Medical,8.74
Jefferson Park,2022,3,Police,7.17
Jefferson Park,2021,11,Police,11.13
Lincoln Square,2023,1,Fire,10.97
West Englewood,2020,1,Police,10.66
West Garfield Park,2020,9,Medical,8.59
Englewood,2023,4,Fire,12.71
Kenwood,2023,11,Police,9.54
West Pullman,2024,3,Police,7.27
Rogers Park,2022,5,Fire,11.18
Edison Park,2020,1,Medical,11.68
Grand Boulevard,2019,3,Police,10.58
Mount Greenwood,2023,4,Fire,8.9
Irving Park,2020,12,Police,6.85
Irving Park,2020,6,Police,6.74
West Town,2021,9,Medical,7.96
Morgan Park,2020,3,Medical,7.93
Near West Side,2023,4,Medical,6.01
Hyde Park,2022,5,Medical,5.3
Chatham,2020,8,Fire,10.01
Douglas,2019,9,Police,7.75
Mount Greenwood,2023,3,Medical,10.78
Near South Side,2022,3,Police,14.42
Beverly,2024,7,Police,6.31
Loop,2022,9,Medical,3.25
Chatham,2023,1,Medical,11.81
Lincoln Square,2024,1,Medical,7.79
Near North Side,2022,12,Medical,3.15
South Shore,2019,2,Police,13.23
South Shore,2020,6,Police,12.62
Lincoln Square,2023,3,Police,7.4
Douglas,2020,12,Medical,8.12
Irving Park,2020,8,Police,9.36
Uptown,2022,5,Fire,9.96
Douglas,2023,3,Medical,11.71
West Ridge,2020,8,Medical,4.04
Kenwood,2021,8,Fire,11.86
Englewood,2019,2,Police,11.1
Woodlawn,2024,5,Police,14.11
Morgan Park,2022,3,Police,14.65
Rogers Park,2023,7,Medical,10.15
Edison Park,2023,2,Police,8.39
Grand Boulevard,2022,9,Police,15.86
Beverly,2020,2,Police,6.94
Lincoln Park,2022,11,Medical,1.96
Douglas,2023,2,Police,9.26
Washington Park,2021,6,Medical,8.44
North Lawndale,2020,3,Police,10.17
West Garfield Park,2024,3,Police,12.4
Irving Park,2022,10,Police,10.75
Lincoln Park,2023,2,Police,7.99
Hyde Park,2024,5,Medical,6.43
Woodlawn,2023,12,Police,14.96
Edison Park,2023,11,Medical,8.9
Near West Side,2021,5,Medical,8.37
Rogers Park,2020,7,Medical,8.62
Chatham,2022,8,Police,13.43
West Englewood,2020,8,Police,12.16
Mount Greenwood,2023,12,Police,8.27
Humboldt Park,2021,3,Medical,11.72
West Englewood,2024,6,Fire,9.87
Loop,2021,12,Medical,3.52
Logan Square,2023,5,Police,7.45
Beverly,2020,4,Medical,9.2
Edison Park,2024,10,Police,5.57
Loop,2020,6,Police,11.04
Riverdale,2021,4,Medical,11.91
Hyde Park,2024,8,Police,5.75
Washington Heights,2019,9,Fire,6.01
Near South Side,2021,1,Medical,10.27
Morgan Park,2024,12,Medical,5.82
Jefferson Park,2021,1,Police,8.24
Kenwood,2022,4,Medical,8.56
Auburn Gresham,2021,6,Medical,7.94
Morgan Park,2019,8,Police,10.64
West Garfield Park,2024,12,Fire,12.03
Kenwood,2024,12,Police,13.43
Near South Side,2021,1,Police,9.42
Washington Heights,2020,3,Medical,11.23
Morgan Park,2022,12,Medical,6.38
Washington Heights,2022,4,Medical,8.29
Logan Square,2021,10,Police,14.97
Portage Park,2022,2,Medical,6.53
Near West Side,2022,9,Police,6.52
Portage Park,2021,3,Police,8.49
Logan Square,2019,4,Medical,10.95
Rogers Park,2024,4,Police,8.97
Mount Greenwood,2021,1,Medical,6.2
Near West Side,2020,5,Medical,9.21
Irving Park,2023,5,Medical,6.26
Edison Park,2019,2,Police,6.19
Edison Park,2021,1,Police,11.07
Irving Park,2019,5,Medical,5.13
Riverdale,2023,5,Police,12.13
Hyde Park,2022,7,Police,10.7
Washington Heights,2022,11,Medical,9.31
South Shore,2023,10,Police,13.32
Lake View,2022,10,Medical,2.32
Edison Park,2019,2,Medical,2.6
Washington Park,2022,12,Police,8.98
Woodlawn,2023,8,Fire,8.35
Grand Boulevard,2023,5,Medical,10.64
Roseland,2024,5,Medical,8.54
Grand Boulevard,2023,9,Medical,10.58
Loop,2020,2,Police,5.76
North Lawndale,2019,10,Police,11.15
North Lawndale,2023,11,Fire,9.88
West Ridge,2024,2,Medical,5.17
Lincoln Square,2019,5,Police,8.28
Roseland,2024,1,Police,12.52
Riverdale,2020,11,Medical,11.43
Greater Grand Crossing,2019,5,Police,8.66
North Lawndale,2021,5,Fire,14.59
Auburn Gresham,2020,8,Police,7.84
Near West Side,2020,6,Fire,15.24
South Shore,2022,11,Police,7.42
Mount Greenwood,2023,6,Fire,6.54
Loop,2020,5,Medical,10.6
Riverdale,2019,5,Medical,8.26
Irving Park,2021,8,Police,12.46
West Town,2019,1,Fire,8.8
Morgan Park,2019,9,Medical,7.7
Washington Heights,2021,6,Police,7.77
West Ridge,2024,9,Police,11.02
Chatham,2022,2,Police,8.93
Morgan Park,2023,3,Police,7.36
Albany Park,2020,1,Fire,10.84
West Ridge,2023,5,Police,9.59
Portage Park,2022,2,Police,4.59
Logan Square,2024,11,Fire,6.96
Albany Park,2021,1,Police,10.98
Humboldt Park,2023,9,Fire,16.74
North Lawndale,2019,11,Police,9.65
Jefferson Park,2020,9,Medical,5.37
Washington Heights,2020,6,Medical,5.26
South Shore,2024,11,Police,10.42
Uptown,2022,11,Medical,10.74
Loop,2022,8,Police,6.94
Lincoln Park,2021,11,Police,7.18
Woodlawn,2022,12,Medical,12.27
West Ridge,2023,9,Medical,8.08
Chatham,2020,5,Medical,8.29
Beverly,2021,2,Medical,6.15
Uptown,2022,4,Medical,11.15
Austin,2019,3,Police,10.96
Roseland,2020,10,Medical,11.75
Mount Greenwood,2021,7,Medical,5.55
West Ridge,2020,10,Medical,5.96
West Garfield Park,2023,10,Medical,16.15
Morgan Park,2024,10,Medical,7.23
Irving Park,2022,8,Police,10.28
West Englewood,2024,5,Medical,8.66
Rogers Park,2022,2,Police,15.18
West Town,2022,12,Police,6.57
Hyde Park,2019,9,Police,4.37
Auburn Gresham,2023,1,Medical,10.86
Near South Side,2019,5,Medical,6.21
Pullman,2023,12,Medical,8.33
Washington Park,2023,12,Fire,5.93
Grand Boulevard,2023,3,Medical,10.51
Kenwood,2022,8,Fire,6.93
Beverly,2022,8,Fire,4.33
South Shore,2022,12,Police,15.12
Near South Side,2019,12,Police,12.22
North Lawndale,2021,1,Medical,11.86
Greater Grand Crossing,2024,4,Medical,9.11
West Englewood,2023,12,Medical,9.14
Jefferson Park,2019,10,Medical,7.88
Beverly,2022,8,Medical,5.33
Roseland,2024,9,Medical,11.92
Englewood,2022,9,Police,11.67
West Pullman,2021,2,Police,12.72
Uptown,2022,9,Police,12.42
Uptown,2023,8,Police,12.06
South Shore,2020,11,Police,7.59
West Town,2024,11,Medical,16.78
Morgan Park,2022,9,Medical,3.94
Grand Boulevard,2021,9,Medical,5.25
Mount Greenwood,2024,3,Police,2.96
Portage Park,2020,5,Police,8.98
West Pullman,2024,11,Medical,8.03
Greater Grand Crossing,2023,3,Police,13.65
Riverdale,2023,6,Medical,12.04
Kenwood,2023,10,Police,12.43
Washington Heights,2021,5,Police,6.52
Englewood,2020,2,Medical,18.04
South Shore,2023,3,Police,11.53
Auburn Gresham,2022,7,Fire,13.44
Near North Side,2020,10,Police,8.39
Lincoln Square,2023,10,Medical,7.83
Auburn Gresham,2020,12,Police,10.62
Rogers Park,2024,5,Police,12.23
Rogers Park,2022,3,Medical,10.62
Loop,2019,4,Police,5.17
Near West Side,2023,6,Fire,9.02
Chatham,2022,8,Medical,5.66
Albany Park,2021,12,Medical,7.36
North Lawndale,2024,7,Medical,7.31
South Shore,2023,12,Police,8.23
West Englewood,2019,3,Medical,9.73
Pullman,2024,2,Fire,9.79
Woodlawn,2022,3,Medical,6.78
Portage Park,2024,5,Police,14.1
Beverly,2022,7,Medical,8.36
Lake View,2020,8,Police,2.74
Edison Park,2023,6,Police,10.81
Englewood,2019,2,Medical,8.32
Irving Park,2021,11,Police,8.72
Beverly,2020,2,Fire,8.78
Rogers Park,2023,10,Medical,9.68
Pullman,2019,11,Police,7.2
Lincoln Square,2020,5,Police,7.11
Lake View,2019,11,Police,3.64
Roseland,2024,5,Fire,12.16
Kenwood,2019,1,Medical,5.31
Uptown,2020,1,Police,7.99
Portage Park,2020,9,Medical,9.9
Lincoln Square,2023,7,Police,11.58
Hyde Park,2020,8,Medical,7.95
Woodlawn,2024,12,Police,16.71
Woodlawn,2023,5,Police,8.06
Lincoln Park,2019,3,Medical,3.77
West Town,2020,3,Fire,7.0
Roseland,2023,12,Police,16.55
Auburn Gresham,2023,3,Police,10.21
Auburn Gresham,2021,1,Police,13.49
Auburn Gresham,2023,11,Medical,11.63
West Englewood,2023,11,Fire,8.54
Grand Boulevard,2021,3,Fire,3.33
Lincoln Park,2022,2,Fire,5.41
Lincoln Square,2024,8,Police,9.73
North Lawndale,2020,10,Medical,8.16
Jefferson Park,2021,10,Police,14.95
Chatham,2023,6,Fire,10.18
Logan Square,2023,5,Fire,10.43
West Garfield Park,2020,1,Medical,9.31
West Pullman,2024,2,Fire,6.11
Douglas,2019,2,Police,11.88
Lincoln Square,2021,7,Fire,9.69
Lake View,2022,12,Police,2.44
Auburn Gresham,2020,7,Medical,11.37
Morgan Park,2020,6,Medical,8.4
Logan Square,2021,8,Medical,15.47
Englewood,2023,4,Police,8.45
Douglas,2023,9,Police,14.35
Grand Boulevard,2022,8,Police,8.61
Uptown,2021,3,Medical,6.3
Englewood,2020,3,Fire,14.14
West Pullman,2021,12,Medical,8.5
Near South Side,2019,12,Police,11.55
Near South Side,2020,9,Medical,13.62
Portage Park,2022,9,Police,8.41
Washington Heights,2022,11,Medical,11.63
Lincoln Square,2020,5,Medical,7.91
Rogers Park,2023,10,Police,10.25
South Shore,2020,1,Medical,6.97
Kenwood,2020,3,Medical,9.19
West Englewood,2019,11,Police,15.24
Logan Square,2020,5,Medical,7.86
Englewood,2024,4,Medical,9.83
Portage Park,2024,4,Police,10.86
Greater Grand Crossing,2021,1,Police,13.32
West Garfield Park,2021,6,Police,13.73
West Englewood,2022,12,Medical,8.14
North Lawndale,2023,10,Police,13.73
Mount Greenwood,2022,11,Fire,7.33
Douglas,2019,4,Police,12.36
Kenwood,2020,1,Medical,7.41
Near West Side,2022,10,Medical,6.92
Auburn Gresham,2020,6,Police,10.15
Washington Heights,2022,5,Police,12.15
Near South Side,2020,5,Medical,7.43
Edison Park,2022,2,Medical,3.65
South Shore,2024,1,Police,13.88
Lake View,2024,7,Medical,8.39
West Garfield Park,2024,5,Medical,7.94
Auburn Gresham,2021,3,Medical,12.64
Greater Grand Crossing,2019,6,Medical,9.9
Near West Side,2022,3,Medical,6.31
Woodlawn,2021,6,Police,8.93
Englewood,2023,6,Medical,12.58
Portage Park,2022,9,Medical,8.47
Irving Park,2020,8,Medical,9.76
Near South Side,2019,1,Medical,10.55
Portage Park,2021,7,Medical,8.24
Washington Heights,2021,11,Police,15.71
South Shore,2019,9,Medical,11.13
Lake View,2022,2,Police,4.02
West Garfield Park,2020,9,Police,10.15
Loop,2023,6,Police,7.97
Morgan Park,2022,3,Medical,10.22
Irving Park,2019,8,Medical,10.3
Lincoln Park,2022,7,Medical,7.13
West Garfield Park,2022,12,Police,10.92
Near West Side,2019,8,Medical,5.28
Hyde Park,2019,8,Fire,10.97
West Pullman,2023,7,Police,11.04
Lincoln Park,2019,1,Fire,4.7
Greater Grand Crossing,2019,10,Medical,12.63
Beverly,2019,10,Medical,8.67
Portage Park,2021,10,Police,12.73
Riverdale,2019,8,Medical,8.12
Kenwood,2019,5,Medical,7.26
Grand Boulevard,2019,2,Medical,12.92
West Town,2023,2,Police,9.4
Woodlawn,2022,2,Medical,8.63
Portage Park,2019,9,Fire,7.37
West Garfield Park,2019,5,Police,12.22
Humboldt Park,2023,3,Police,16.95
Woodlawn,2022,6,Police,12.3
North Lawndale,2023,9,Police,12.56
South Shore,2024,11,Medical,10.73
Lincoln Square,2020,9,Medical,5.87
Near North Side,2020,9,Medical,4.99
West Englewood,2020,11,Police,16.01
Jefferson Park,2019,10,Medical,9.0
Edison Park,2023,11,Medical,10.03
West Garfield Park,2019,4,Medical,8.86
West Garfield Park,2020,5,Medical,11.92
Riverdale,2022,12,Medical,8.08
West Pullman,2022,1,Medical,8.36
Edison Park,2024,11,Medical,5.92
Near West Side,2023,10,Fire,7.72
Beverly,2024,6,Police,9.62
Uptown,2022,2,Medical,9.6
Lake View,2020,7,Police,6.72
Logan Square,2024,4,Medical,5.4
Pullman,2024,4,Medical,9.74
Austin,2024,9,Medical,10.26
West Pullman,2023,1,Medical,8.42
Douglas,2023,6,Police,7.27
Chatham,2020,2,Fire,9.6
Douglas,2020,6,Police,11.24
Uptown,2020,7,Medical,12.01
Albany Park,2024,3,Police,10.15
Near South Side,2020,4,Medical,8.35
Austin,2023,2,Police,9.48
Irving Park,2022,7,Fire,8.43
West Ridge,2020,9,Police,11.75
Morgan Park,2021,5,Medical,9.94
Kenwood,2023,11,Fire,10.54
West Englewood,2019,5,Police,14.2
Roseland,2022,9,Fire,10.41
Roseland,2023,8,Fire,9.66
West Englewood,2020,1,Police,8.74
Near West Side,2024,2,Medical,9.58
Edison Park,2021,7,Fire,6.77
Hyde Park,2019,3,Police,8.39
Mount Greenwood,2022,6,Police,5.37
Near North Side,2020,1,Medical,1.86
Roseland,2023,8,Police,11.79
Near North Side,2023,2,Medical,4.98
Uptown,2022,1,Police,12.91
Rogers Park,2021,2,Medical,8.28
Greater Grand Crossing,2024,8,Fire,12.64
Washington Park,2020,10,Medical,9.6
Auburn Gresham,2022,5,Police,8.54
Rogers Park,2022,12,Medical,11.73
West Town,2023,9,Police,9.67
Auburn Gresham,2022,12,Fire,9.38
Logan Square,2019,3,Police,6.24
Mount Greenwood,2019,8,Police,7.98
Edison Park,2020,4,Police,8.6
Lake View,2022,7,Police,7.08
Jefferson Park,2023,10,Medical,4.81
Rogers Park,2024,10,Fire,12.14
Greater Grand Crossing,2020,8,Police,13.14
West Englewood,2021,3,Police,10.53
West Ridge,2023,3,Medical,13.61
Mount Greenwood,2021,1,Medical,5.48
Grand Boulevard,2020,8,Police,10.83
Jefferson Park,2019,2,Police,6.66
Englewood,2023,7,Medical,13.02
Humboldt Park,2024,11,Medical,6.8
Lincoln Square,2023,7,Police,8.32
Roseland,2020,7,Medical,15.34
Pullman,2023,4,Police,9.89
Beverly,2023,7,Police,7.32
Portage Park,2020,10,Police,6.19
West Englewood,2022,11,Police,9.57
Edison Park,2020,8,Fire,4.91
Uptown,2023,9,Medical,8.73
Humboldt Park,2024,7,Fire,10.57
Logan Square,2024,6,Police,11.05
West Pullman,2020,5,Medical,11.15
Englewood,2023,10,Medical,9.76
Near West Side,2021,10,Police,8.9
Beverly,2021,7,Medical,7.93
Austin,2019,10,Police,11.31
West Ridge,2020,2,Medical,8.83
Mount Greenwood,2020,5,Medical,7.65
West Garfield Park,2021,8,Fire,11.3
Englewood,2021,6,Medical,12.42
Austin,2021,6,Police,9.18
Beverly,2024,1,Police,9.67
West Ridge,2024,2,Medical,5.47
West Ridge,2019,3,Police,10.19
Hyde Park,2019,7,Police,10.02
Logan Square,2022,12,Medical,7.76
